match_id,date,home_team,visitor_team,home_team_score,visitor_team_score,ast,blocks,defensive_rebounds,three_point_pct,field_goal_pct,free_throw_pct,min,oreb,pf,player,player_id,team_id,reb,stl,turnover
457259,2021-08-11,Brooklyn Nets,Milwaukee Bucks,97,91,,,,,,,,,,,,,,,
473464,2021-10-27,Milwaukee Bucks,Minnesota Timberwolves,108,113,,,,,,,,,,,,,,,
473563,2021-11-09,Philadelphia 76ers,Milwaukee Bucks,109,118,,,,,,,,,,,,,,,
473584,2021-11-12,Boston Celtics,Milwaukee Bucks,122,113,,,,,,,,,,,,,,,
473627,2021-11-17,Milwaukee Bucks,Los Angeles Lakers,109,84,,,,,,,,,,,,,,,
473369,2021-10-05,Memphis Grizzlies,Milwaukee Bucks,87,77,,,,,,,,,,,,,,,
473678,2021-11-24,Milwaukee Bucks,Detroit Pistons,114,93,,,,,,,,,,,,,,,
473532,2021-11-05,Milwaukee Bucks,New York Knicks,98,113,,,,,,,,,,,,,,,
473849,2021-12-18,Milwaukee Bucks,Cleveland Cavaliers,90,119,,,,,,,,,,,,,,,
473423,2021-10-21,Miami Heat,Milwaukee Bucks,137,95,,,,,,,,,,,,,,,
473711,2021-11-28,Indiana Pacers,Milwaukee Bucks,100,118,,,,,,,,,,,,,,,
461295,2021-08-13,Milwaukee Bucks,Minnesota Timberwolves,64,91,,,,,,,,,,,,,,,
474082,2022-01-19,Milwaukee Bucks,Memphis Grizzlies,126,114,,,,,,,,,,,,,,,
474105,2022-01-22,Milwaukee Bucks,Sacramento Kings,133,127,,,,,,,,,,,,,,,
473442,2021-10-23,San Antonio Spurs,Milwaukee Bucks,111,121,,,,,,,,,,,,,,,
473452,2021-10-25,Indiana Pacers,Milwaukee Bucks,109,119,,,,,,,,,,,,,,,
473499,2021-10-31,Milwaukee Bucks,Utah Jazz,95,107,,,,,,,,,,,,,,,
473549,2021-11-07,Washington Wizards,Milwaukee Bucks,101,94,,,,,,,,,,,,,,,
473651,2021-11-20,Milwaukee Bucks,Orlando Magic,117,108,,,,,,,,,,,,,,,
473666,2021-11-22,Milwaukee Bucks,Orlando Magic,123,92,,,,,,,,,,,,,,,
473692,2021-11-26,Denver Nuggets,Milwaukee Bucks,109,120,,,,,,,,,,,,,,,
473779,2021-12-08,Miami Heat,Milwaukee Bucks,113,104,,,,,,,,,,,,,,,
473793,2021-12-10,Houston Rockets,Milwaukee Bucks,114,123,,,,,,,,,,,,,,,
473808,2021-12-12,New York Knicks,Milwaukee Bucks,97,112,,,,,,,,,,,,,,,
473882,2021-12-22,Milwaukee Bucks,Houston Rockets,126,106,,,,,,,,,,,,,,,
473934,2021-12-30,Orlando Magic,Milwaukee Bucks,118,136,,,,,,,,,,,,,,,
474522,2022-03-26,Memphis Grizzlies,Milwaukee Bucks,127,102,,,,,,,,,,,,,,,
473488,2021-10-30,Milwaukee Bucks,San Antonio Spurs,93,102,,,,,,,,,,,,,,,
474216,2022-02-06,LA Clippers,Milwaukee Bucks,113,137,,,,,,,,,,,,,,,
474360,2022-03-04,Chicago Bulls,Milwaukee Bucks,112,118,,,,,,,,,,,,,,,
473737,2021-12-02,Toronto Raptors,Milwaukee Bucks,97,93,,,,,,,,,,,,,,,
473919,2021-12-28,Orlando Magic,Milwaukee Bucks,110,127,,,,,,,,,,,,,,,
473603,2021-11-14,Atlanta Hawks,Milwaukee Bucks,120,100,,,,,,,,,,,,,,,
473512,2021-11-02,Detroit Pistons,Milwaukee Bucks,89,117,,,,,,,,,,,,,,,
473570,2021-11-10,New York Knicks,Milwaukee Bucks,100,112,,,,,,,,,,,,,,,
474230,2022-02-08,Los Angeles Lakers,Milwaukee Bucks,116,131,,,,,,,,,,,,,,,
473638,2021-11-19,Milwaukee Bucks,Oklahoma City Thunder,96,89,,,,,,,,,,,,,,,
474209,2022-02-05,Portland Trail Blazers,Milwaukee Bucks,108,137,,,,,,,,,,,,,,,
474318,2022-02-26,Milwaukee Bucks,Brooklyn Nets,123,126,,,,,,,,,,,,,,,
474387,2022-03-08,Oklahoma City Thunder,Milwaukee Bucks,115,142,,,,,,,,,,,,,,,
474417,2022-03-12,Golden State Warriors,Milwaukee Bucks,122,109,,,,,,,,,,,,,,,
473752,2021-12-04,Milwaukee Bucks,Miami Heat,124,102,,,,,,,,,,,,,,,
473967,2022-01-03,Milwaukee Bucks,Detroit Pistons,106,115,,,,,,,,,,,,,,,
474068,2022-01-17,Atlanta Hawks,Milwaukee Bucks,121,114,,,,,,,,,,,,,,,
474151,2022-01-28,Milwaukee Bucks,New York Knicks,123,108,,,,,,,,,,,,,,,
474506,2022-03-24,Milwaukee Bucks,Washington Wizards,114,102,,,,,,,,,,,,,,,
474540,2022-03-29,Philadelphia 76ers,Milwaukee Bucks,116,118,,,,,,,,,,,,,,,
473768,2021-12-06,Milwaukee Bucks,Cleveland Cavaliers,112,104,,,,,,,,,,,,,,,
473818,2021-12-13,Boston Celtics,Milwaukee Bucks,117,103,,,,,,,,,,,,,,,
473830,2021-12-15,Milwaukee Bucks,Indiana Pacers,114,99,,,,,,,,,,,,,,,
474017,2022-01-10,Charlotte Hornets,Milwaukee Bucks,103,99,,,,,,,,,,,,,,,
474056,2022-01-15,Milwaukee Bucks,Toronto Raptors,96,103,,,,,,,,,,,,,,,
474177,2022-02-01,Milwaukee Bucks,Washington Wizards,112,98,,,,,,,,,,,,,,,
474280,2022-02-15,Milwaukee Bucks,Indiana Pacers,128,119,,,,,,,,,,,,,,,
474491,2022-03-22,Milwaukee Bucks,Chicago Bulls,126,98,,,,,,,,,,,,,,,
473848,2021-12-17,New Orleans Pelicans,Milwaukee Bucks,116,112,,,,,,,,,,,,,,,
473887,2021-12-23,Dallas Mavericks,Milwaukee Bucks,95,102,,,,,,,,,,,,,,,
474467,2022-03-19,Minnesota Timberwolves,Milwaukee Bucks,138,119,,,,,,,,,,,,,,,
